N,threads,pattern,sec,checksum
256,1,0,0.000921708,48.000000
256,1,1,0.000834417,48.000000
256,1,2,0.000665625,48.000000
256,1,3,0.000480459,48.000000
256,1,4,0.000652042,48.000000
256,1,5,0.000315333,48.000000
512,1,0,0.003447542,48.000000
512,1,1,0.002648500,48.000000
512,1,2,0.001875791,48.000000
512,1,3,0.001109583,48.000000
512,1,4,0.001504792,48.000000
512,1,5,0.001596333,48.000000
1024,1,0,0.011173584,48.000000
1024,1,1,0.014253042,48.000000
1024,1,2,0.004794125,48.000000
1024,1,3,0.004039917,48.000000
1024,1,4,0.005669541,48.000000
1024,1,5,0.004234250,48.000000
2048,1,0,0.036057125,48.000000
2048,1,1,0.080448458,48.000000
2048,1,2,0.018742000,48.000000
2048,1,3,0.013881625,48.000000
2048,1,4,0.020125416,48.000000
2048,1,5,0.016582666,48.000000
