N,pattern_name,best_time_sec,best_version
256,blocked_32,6.1781e-05,optimized
256,cyclic_rows,6.5196e-05,optimized
256,linear_flat,6.6067e-05,optimized
256,unroll4,7.0945e-05,optimized
256,row_major_rows_per_thread,8.3549e-05,optimized
256,col_major,0.000173193,optimized
512,linear_flat,0.000167093,optimized
512,cyclic_rows,0.000168489,optimized
512,unroll4,0.000183299,optimized
512,row_major_rows_per_thread,0.000209649,optimized
512,blocked_32,0.000217711,optimized
512,col_major,0.001792514,optimized
1024,linear_flat,0.001464362,unoptimized
1024,cyclic_rows,0.001477096,unoptimized
1024,row_major_rows_per_thread,0.00151457,optimized
1024,blocked_32,0.001525934,optimized
1024,unroll4,0.001527833,optimized
1024,col_major,0.016581263,optimized
2048,linear_flat,0.005681304,optimized
2048,row_major_rows_per_thread,0.006122998,optimized
2048,cyclic_rows,0.006151453,optimized
2048,unroll4,0.006220279,optimized
2048,blocked_32,0.006563763,optimized
2048,col_major,0.068632901,optimized
