N,threads,pattern,sec,checksum
256,1,0,0.000090343,48.000000
256,2,0,0.000124224,48.000000
256,4,0,0.000587245,48.000000
256,8,0,0.000402768,48.000000
256,16,0,0.000594549,48.000000
256,1,1,0.000612674,48.000000
256,2,1,0.000238269,48.000000
256,4,1,0.000254518,48.000000
256,8,1,0.000536076,48.000000
256,16,1,0.000611544,48.000000
256,1,2,0.000095281,48.000000
256,2,2,0.000097699,48.000000
256,4,2,0.000145928,48.000000
256,8,2,0.000344979,48.000000
256,16,2,0.000783479,48.000000
256,1,3,0.000114490,48.000000
256,2,3,0.000150671,48.000000
256,4,3,0.000144874,48.000000
256,8,3,0.000310979,48.000000
256,16,3,0.000672602,48.000000
256,1,4,0.000098139,48.000000
256,2,4,0.000126697,48.000000
256,4,4,0.000158625,48.000000
256,8,4,0.000282237,48.000000
256,16,4,0.000804286,48.000000
256,1,5,0.000094026,48.000000
256,2,5,0.000138299,48.000000
256,4,5,0.000187123,48.000000
256,8,5,0.000296343,48.000000
256,16,5,0.000773353,48.000000
512,1,0,0.000270726,48.000000
512,2,0,0.000383547,48.000000
512,4,0,0.000274659,48.000000
512,8,0,0.000575600,48.000000
512,16,0,0.000656123,48.000000
512,1,1,0.004849562,48.000000
512,2,1,0.003296867,48.000000
512,4,1,0.002431562,48.000000
512,8,1,0.002648271,48.000000
512,16,1,0.002605878,48.000000
512,1,2,0.000410203,48.000000
512,2,2,0.000311782,48.000000
512,4,2,0.000231650,48.000000
512,8,2,0.000687700,48.000000
512,16,2,0.000641683,48.000000
512,1,3,0.000308301,48.000000
512,2,3,0.000176430,48.000000
512,4,3,0.000367230,48.000000
512,8,3,0.000417359,48.000000
512,16,3,0.000985110,48.000000
512,1,4,0.000239662,48.000000
512,2,4,0.000254482,48.000000
512,4,4,0.000265152,48.000000
512,8,4,0.000649645,48.000000
512,16,4,0.000646987,48.000000
512,1,5,0.000507872,48.000000
512,2,5,0.000186355,48.000000
512,4,5,0.000394638,48.000000
512,8,5,0.000386440,48.000000
512,16,5,0.001453739,48.000000
1024,1,0,0.001686936,48.000000
1024,2,0,0.001574028,48.000000
1024,4,0,0.001721572,48.000000
1024,8,0,0.001935557,48.000000
1024,16,0,0.001764974,48.000000
1024,1,1,0.029524467,48.000000
1024,2,1,0.019027458,48.000000
1024,4,1,0.019279424,48.000000
1024,8,1,0.017479852,48.000000
1024,16,1,0.016946929,48.000000
1024,1,2,0.001778077,48.000000
1024,2,2,0.001760390,48.000000
1024,4,2,0.001884500,48.000000
1024,8,2,0.001842277,48.000000
1024,16,2,0.001961808,48.000000
1024,1,3,0.001696813,48.000000
1024,2,3,0.001464362,48.000000
1024,4,3,0.001502155,48.000000
1024,8,3,0.001697716,48.000000
1024,16,3,0.001855394,48.000000
1024,1,4,0.001885289,48.000000
1024,2,4,0.001477096,48.000000
1024,4,4,0.001592425,48.000000
1024,8,4,0.001820991,48.000000
1024,16,4,0.001825509,48.000000
1024,1,5,0.001617626,48.000000
1024,2,5,0.001605767,48.000000
1024,4,5,0.001766167,48.000000
1024,8,5,0.001854320,48.000000
1024,16,5,0.001964436,48.000000
2048,1,0,0.006935624,48.000000
2048,2,0,0.007388861,48.000000
2048,4,0,0.008010812,48.000000
2048,8,0,0.006870861,48.000000
2048,16,0,0.007388755,48.000000
2048,1,1,0.141711863,48.000000
2048,2,1,0.084248858,48.000000
2048,4,1,0.074264918,48.000000
2048,8,1,0.069167431,48.000000
2048,16,1,0.069167793,48.000000
2048,1,2,0.008057893,48.000000
2048,2,2,0.006960393,48.000000
2048,4,2,0.008131253,48.000000
2048,8,2,0.007707174,48.000000
2048,16,2,0.008404251,48.000000
2048,1,3,0.007438698,48.000000
2048,2,3,0.007746504,48.000000
2048,4,3,0.007670933,48.000000
2048,8,3,0.006975101,48.000000
2048,16,3,0.006977171,48.000000
2048,1,4,0.007090236,48.000000
2048,2,4,0.007353345,48.000000
2048,4,4,0.006825564,48.000000
2048,8,4,0.007857030,48.000000
2048,16,4,0.007436095,48.000000
2048,1,5,0.007452986,48.000000
2048,2,5,0.007204025,48.000000
2048,4,5,0.008673714,48.000000
2048,8,5,0.007273124,48.000000
2048,16,5,0.008175383,48.000000
