N,threads,pattern,sec,checksum
256,1,0,0.000090054,48.000000
256,1,1,0.000358114,48.000000
256,1,2,0.000068764,48.000000
256,1,3,0.000051696,48.000000
256,1,4,0.000057089,48.000000
256,1,5,0.000056963,48.000000
512,1,0,0.000448003,48.000000
512,1,1,0.010498555,48.000000
512,1,2,0.000973520,48.000000
512,1,3,0.000234922,48.000000
512,1,4,0.000238118,48.000000
512,1,5,0.000241288,48.000000
1024,1,0,0.002271801,48.000000
1024,1,1,0.030743793,48.000000
1024,1,2,0.001801888,48.000000
1024,1,3,0.004154819,48.000000
1024,1,4,0.002310867,48.000000
1024,1,5,0.002479045,48.000000
2048,1,0,0.006860181,48.000000
2048,1,1,0.144976948,48.000000
2048,1,2,0.007523395,48.000000
2048,1,3,0.006756221,48.000000
2048,1,4,0.007064811,48.000000
2048,1,5,0.007159972,48.000000
256,2,0,0.000073832,48.000000
256,2,1,0.000220110,48.000000
256,2,2,0.000065180,48.000000
256,2,3,0.000061715,48.000000
256,2,4,0.000070984,48.000000
256,2,5,0.000108620,48.000000
512,2,0,0.000196007,48.000000
512,2,1,0.003559347,48.000000
512,2,2,0.000195345,48.000000
512,2,3,0.000219987,48.000000
512,2,4,0.000491422,48.000000
512,2,5,0.000319878,48.000000
1024,2,0,0.001672214,48.000000
1024,2,1,0.019136214,48.000000
1024,2,2,0.001692905,48.000000
1024,2,3,0.002023536,48.000000
1024,2,4,0.001728852,48.000000
1024,2,5,0.002206533,48.000000
2048,2,0,0.007971623,48.000000
2048,2,1,0.094363955,48.000000
2048,2,2,0.007137992,48.000000
2048,2,3,0.006647443,48.000000
2048,2,4,0.006444761,48.000000
2048,2,5,0.006940545,48.000000
256,4,0,0.000118911,48.000000
256,4,1,0.000289483,48.000000
256,4,2,0.000125290,48.000000
256,4,3,0.000140379,48.000000
256,4,4,0.000164160,48.000000
256,4,5,0.000087347,48.000000
512,4,0,0.000343582,48.000000
512,4,1,0.005370564,48.000000
512,4,2,0.000224467,48.000000
512,4,3,0.000211730,48.000000
512,4,4,0.000187748,48.000000
512,4,5,0.000190048,48.000000
1024,4,0,0.001764868,48.000000
1024,4,1,0.020453136,48.000000
1024,4,2,0.002523410,48.000000
1024,4,3,0.001971512,48.000000
1024,4,4,0.002664295,48.000000
1024,4,5,0.004559092,48.000000
2048,4,0,0.006262206,48.000000
2048,4,1,0.083932745,48.000000
2048,4,2,0.007898034,48.000000
2048,4,3,0.007406528,48.000000
2048,4,4,0.010767283,48.000000
2048,4,5,0.010030200,48.000000
256,8,0,0.000146867,48.000000
256,8,1,0.000225155,48.000000
256,8,2,0.000175364,48.000000
256,8,3,0.000197665,48.000000
256,8,4,0.000157626,48.000000
256,8,5,0.000147648,48.000000
512,8,0,0.000257756,48.000000
512,8,1,0.003265347,48.000000
512,8,2,0.000264164,48.000000
512,8,3,0.000297248,48.000000
512,8,4,0.000321823,48.000000
512,8,5,0.000563802,48.000000
1024,8,0,0.002046513,48.000000
1024,8,1,0.017686632,48.000000
1024,8,2,0.001797651,48.000000
1024,8,3,0.001842080,48.000000
1024,8,4,0.001692962,48.000000
1024,8,5,0.001863860,48.000000
2048,8,0,0.006515402,48.000000
2048,8,1,0.075489189,48.000000
2048,8,2,0.007151944,48.000000
2048,8,3,0.006636997,48.000000
2048,8,4,0.007198424,48.000000
2048,8,5,0.006336635,48.000000
256,16,0,0.000194435,48.000000
256,16,1,0.000246317,48.000000
256,16,2,0.000195419,48.000000
256,16,3,0.000197492,48.000000
256,16,4,0.000255751,48.000000
256,16,5,0.000196960,48.000000
512,16,0,0.000285991,48.000000
512,16,1,0.002185546,48.000000
512,16,2,0.000353693,48.000000
512,16,3,0.000360042,48.000000
512,16,4,0.000335137,48.000000
512,16,5,0.000282701,48.000000
1024,16,0,0.001958308,48.000000
1024,16,1,0.015516101,48.000000
1024,16,2,0.001824233,48.000000
1024,16,3,0.001712700,48.000000
1024,16,4,0.002350932,48.000000
1024,16,5,0.001695674,48.000000
2048,16,0,0.006689786,48.000000
2048,16,1,0.070957658,48.000000
2048,16,2,0.007409795,48.000000
2048,16,3,0.006625134,48.000000
2048,16,4,0.006738993,48.000000
2048,16,5,0.006711084,48.000000
