N,threads,pattern,sec,checksum
256,1,0,0.000229000,48.000000
256,1,1,0.000116000,48.000000
256,1,2,0.000235000,48.000000
256,1,3,0.000101000,48.000000
256,1,4,0.000211000,48.000000
256,1,5,0.000237000,48.000000
512,1,0,0.001946000,48.000000
512,1,1,0.000963000,48.000000
512,1,2,0.001545000,48.000000
512,1,3,0.000629000,48.000000
512,1,4,0.001190000,48.000000
512,1,5,0.001269000,48.000000
1024,1,0,0.003880000,48.000000
1024,1,1,0.002978000,48.000000
1024,1,2,0.003639000,48.000000
1024,1,3,0.002710000,48.000000
1024,1,4,0.003239000,48.000000
1024,1,5,0.003615000,48.000000
2048,1,0,0.014637000,48.000000
2048,1,1,0.023554000,48.000000
2048,1,2,0.014715000,48.000000
2048,1,3,0.019930000,48.000000
2048,1,4,0.013646000,48.000000
2048,1,5,0.014448000,48.000000
